养殖捕猎模型,走私运输模型,收购销售加工模型,使用者模型,核心成员模型,评分权重,场景分类,场景编号,场景名称,场景详细说明(核心成员),场景详细描述(业务含义）,是否可实现,不可实现的原因,场景来源,监测对象,关注的日子,多规则场景标识,场景的多规则逻辑,备注
1,1,1,1,1,60,交易风险,SN001627his,近期历史有交易附言敏感词,命中近期历史交易附言敏感词高。该规则与IWT黑名单择一使用，作为没有合适IWT黑名单时的备用规则。,命中近期历史交易附言敏感词高。该规则与IWT黑名单择一使用，作为没有合适IWT黑名单时的备用规则。,,,人行，案例,客户,自然日,,,
1,1,1,1,1,0,交易风险,SN001627add,补筛交易附言敏感词（单独触发规则）,对较高分段的客户补筛交易附言敏感词，该规则单独触发，不参加评分模型。,对较高分段的客户补筛交易附言敏感词，该规则单独触发，不参加评分模型。,,,人行，案例,客户,自然日,,,
1,1,1,,,20,交易风险,SN001628,与历史比较呈现异常,客户的交易特征（如金额次数等）与历史比较出现偏差。,客户的交易特征（如金额次数等）与历史比较出现偏差。,,,人行，案例,客户,自然日,,,
,,,,,x,交易风险,SN001629,相似金额且整数倍,相似金额交易多次出现，且呈现某种汇率的整数倍，或某野生动物市场单价的整数倍,相似金额交易多次出现，且呈现某种汇率的整数倍，或某野生动物市场单价的整数倍,否,数据支持情况待定,人行,客户,自然日,,,
x,,,,,x,交易风险,SN001630,养殖环节与同业比较呈现异常,有关公司或个人禁猎（渔）期的交易金额大幅降低，若存在非法捕捞或交易，则禁期与非禁期的交易金额之比，相比行业平均水平较高,有关公司或个人禁猎（渔）期的交易金额大幅降低，若存在非法捕捞或交易，则禁期与非禁期的交易金额之比，相比行业平均水平较高,否,数据支持情况待定,人行,客户,自然日,,,
1,1,,,,22,交易风险,SN001631,交易规模与注册身份不符,客户的月累计交易金额远小于其注册资金规模。,捕猎环节的商户经营者或农户，其注册资本或个人财富一般较少，但交易笔数及累计交易金额巨大，交易规模与其经营背景、个人身份明显不符。销售环节的农贸市场个体工商户等客户，其注册资本或个人财富一般较少，但交易笔数及累计交易金额巨大，交易规模与其经营背景、个人身份明显不符,,,案例,客户,自然日,,,
1,1,,,,20,交易风险,SN001632,对公客户的关联人异常,多个对公客户背后有相同的企业联系人,多个对公客户背后有相同的企业联系人，如法人受益人等,,,FATF,客户,自然日,,,
1,1,1,,,22,交易风险,SN001635,相似金额重复出现,相似交易金额大量重复出现,相似交易金额大量重复出现,,,人行,客户,自然日,,,
,1,1,,,22,交易风险,SN001636,现金存入且第三方或跨行转出,多为现金存入，多为第三方或跨行资金转出。,一般伴随通过银行或ATM存入现金，成交后参与人员多通过第三方支付工具进行资金划转，网银转账尤其是跨行转账笔数金额高。,,,人行，案例,客户,自然日,,,
1,1,1,1,1,22,交易风险,SN001637,单个交易对手频繁交易,针对某个交易对手多次发生付款交易,针对某个交易对手多次发生付款交易,,,人行，案例,客户,自然日,,,
,1,,,,20,交易风险,SN001638,先付定金再补尾款,买方多分为多笔支付，这与走私行业采用先付定金再补尾款的计算方式相符,买方多分为多笔支付，这与走私行业采用先付定金再补尾款的计算方式相符,,,人行，案例,客户,自然日,,,
,x,,,,x,交易风险,SN001639,虚构贸易背景跨境结算,存在跨境资金划转情况，通过虚构贸易背景进行跨境结算,存在跨境资金划转情况，通过虚构贸易背景进行跨境结算,否,数据支持情况待定,人行，FATF,客户,自然日,,,
1,1,1,,1,20,交易风险,SN001640,电子痕迹登录IP地址涉境外高危国家,客户电子银行登录留存的IP地址，涉及境外高危国家，如越南、缅甸、柬埔寨等.,客户电子痕迹登录IP地址，涉及境外高危国家，如越南、缅甸、柬埔寨等.,,,人行,客户,自然日,,,
1,1,1,,1,15,交易风险,SN001640b,境外交易频繁,境外交易频繁,境外交易频繁,,,人行,客户,自然日,,,
,1,,,,18,交易风险,SN001641,IWT高风险国家贷款,客户或交易对手是IWT高危地区的贸易公司，且有贷款类交易,IWT高风险国的贸易公司之间存在异常的贷款,,,FATF,客户,自然日,,,
,1,,,,15,交易风险,SN001642,从事养殖业的客户与交易对手经营范围不一致,从事养殖业宠物店的客户与其上游/下游客户的商户经营范围明显不符。,从事养殖业宠物店的客户与其上游/下游客户的商户经营范围明显不符。,,,人行,客户,自然日,,,
,1,,,,20,交易风险,SN001643,从事养殖业的客户大额频繁交易,从事养殖业宠物店的客户进行的大额频繁交易,从事养殖业宠物店的客户进行的大额频繁交易,,,人行,客户,自然日,,,
,1,,,,20,交易风险,SN001644,相同受益所有人关联的客户有支付运费的交易,具有相同受益所有人的对公客户有涉及运费的交易,具有相同受益所有人的对公客户有涉及运费的交易,,,FATF,客户,自然日,,,
,1,,,,x,交易风险,SN001645,黄金交易,野生动物运输的付款往往被掩盖为黄金付款或支付给黄金交易业务,野生动物运输的付款往往被掩盖为黄金付款或支付给黄金交易业务,否,数据支持情况待定,FATF,客户,自然日,,,
,,1,,,x,交易风险,SN001646,销售环节与同业比较呈现异常,技术加工者、经销商等销售受保护动物及制品时，销售规模与其经营规模不符，销售价格高于同行业平均交易金额；与上游交易对手交易时，货物交易价格相比同行业平均水平较高,技术加工者、经销商等销售受保护动物及制品时，销售规模与其经营规模不符，销售价格高于同行业平均交易金额；与上游交易对手交易时，货物交易价格相比同行业平均水平较高,否,数据支持情况待定,人行,客户,自然日,,,
,1,1,,,12,交易风险,SN001647,账户从睡眠到活跃,睡眠账户突然重新启用且交易金额巨大，启用前有测试交易,睡眠账户突然重新启用且交易金额巨大，启用前有测试交易,,,案例,客户,自然日,,,
,,,1,,20,交易风险,SN001648,对公账户的法人交易异常,餐饮行业行内对公账户的法人频繁接受个人转账,餐饮行业行内对公账户的法人频繁接受个人转账,,,案例,客户,自然日,,,
1,1,1,1,1,15,交易风险,SN001649,上下游交易对手不同,交易主体的上下游交易对手重合度低，交易主体和交易对手间资金交易呈单项流动特征,交易主体的上下游交易对手重合度低，交易主体和交易对手间资金交易呈单项流动特征,,,人行,客户,自然日,,,
,,1,1,,22,交易风险,SN001650,餐饮异地交易频繁,餐饮行业客户异地交易笔数金额频繁。,餐饮行业客户异地交易笔数金额频繁(如频繁采购异地食物），跨地区交易不符合餐馆就地取材的便利性。,,,案例,客户,自然日,,,
1,1,1,1,1,20,交易风险,SN001651,短期内大额频繁,短期内客户交易金额巨大或交易次数频繁,短期内客户交易金额巨大或交易次数频繁,,,经验,客户,自然日,,,
1,1,1,1,1,20,交易风险,SN001652,资金归集现象,存在资金归集现象，如集中转入，分散转出；分散转入，集中转出。,存在资金归集现象，如集中转入，分散转出；分散转入，集中转出。（如从IWT团伙非核心成员向核心成员资金流动。）,,,人行,客户,自然日,,,
,,1,,1,20,交易风险,SN001653,过渡性质明显,资金过渡性质明显，如分散转入，分散转入；快进快出，不留余额 。（销售中介，和核心成员都存在跳板账户。）,资金过渡性质明显，如分散转入，分散转入；快进快出，不留余额 。（销售中介，和核心成员都存在跳板账户。）,,,人行,客户,自然日,,,
,,,1,,18,交易特征,SN001655,节假日交易异常,节假日及其前后交易比平时更频繁。,节假日及其前后交易比平时更频繁。,,,案例,客户,自然日,,,
,1,,,,x,交易特征,SN001656,虚假异常跨境贸易,跨境贸易中存在虚假贸易或异常贸易行为,跨境贸易中存在虚假贸易或异常贸易行为,否,数据支持情况待定,人行，FATF,客户,自然日,,,
,1,,,,20,交易特征,SN001657,个人频繁大量购汇,个人频繁大量购汇,个人频繁大量购汇,,,案例,客户,自然日,,,
,1,,,,x,交易特征,SN001658,贸易涉及掩饰性货物,贸易涉及货物多为常见掩饰性货物；如客户在以下商品的高风险通道或港口经营：原木或方木、塑料废料或颗粒、冷冻食品、鱼肚、各种豆类、石头或石英块；或生产可能被用作 “掩护货物 ”的公司，如咖啡、茶叶、豆类或旧衣服的制造商或贸易商,贸易涉及货物多为常见掩饰性货物；如客户在以下商品的高风险通道或港口经营：原木或方木、塑料废料或颗粒、冷冻食品、鱼肚、各种豆类、石头或石英块；或生产可能被用作 “掩护货物 ”的公司，如咖啡、茶叶、豆类或旧衣服的制造商或贸易商,否,数据支持情况待定,FATF,客户,自然日,,,
,,1,,,x,交易特征,SN001659,与亲属转账,客户及其近亲属账户均频繁与相同账户进行交易。,客户及其近亲属账户均频繁与相同账户进行交易。,否,数据支持情况待定,案例,客户,自然日,,,
,,1,,,15,交易特征,SN001660,交易对手异常人群多,客户的交易对手是老年女性的交易频繁。,客户交易网络中，老年女性占比较高，且交易金额大。,,,案例,客户,自然日,,,
,1,,,,x,交易特征,SN001661,交易“保货”模式,流动资金呈现“保货”模式，符合走私运输环节特征的客户，与同一个交易对手频繁交易，且资金先出后入，入账金额高于出账金额,流动资金呈现“保货”模式，符合走私运输环节特征的客户，与同一个交易对手频繁交易，且资金先出后入，入账金额高于出账金额,否,与其他规则合并,案例,客户,自然日,,,
,1,,,,8,客户特征,SN001662,相同手机号关联多个客户,相同手机号关联客户过多，有一人实际控制多个账户的可疑性,相同手机号关联客户过多，有一人实际控制多个账户的可疑性,,,案例,客户,自然日,,,
1,1,1,1,1,20,名单类,SN001663,客户命中“查冻扣”名单,客户命中“查冻扣”名单,客户命中“查冻扣”名单,,,案例,客户,自然日,,,
,,,,,x,单独场景,SN001664,公职人员受贿,公职人员受贿，给与便利，大额转入存入现金，同时职业是可以给与IWT便利的公职人员，如海关边检航空公司税务健康防疫环保等,公职人员受贿，给与便利，大额转入存入现金，同时职业是可以给与IWT便利的公职人员，如海关边检航空公司税务健康防疫环保等,否,有其他模型,FATF,客户,自然日,,,
1,1,1,1,1,20,名单类,SN001666,负面舆情黑名单,客户命中负面新闻黑名单,客户命中负面新闻黑名单,,,人行，FATF,客户,自然日,,,
1,1,1,1,1,60,名单类,SN001667,IWT黑名单,客户或其交易对手命中IWT黑名单,客户或其交易对手命中IWT黑名单,,,FATF,客户,自然日,,,
,1,,,,20,名单类,SN001668,地下钱庄黑名单,客户的交易对手命中“地下钱庄”名单,客户的交易对手命中“地下钱庄”名单,,,FATF，案例,客户,自然日,,,
,1,,,,15,地域类,SN001669,偷猎客户活动轨迹,客户交易发生地是走私泛滥地区，交易时间是野生动物成熟期繁殖期等，交易含饭店酒店消费记录。,客户交易发生地是走私泛滥地区，交易时间是野生动物成熟期繁殖期等，交易含饭店酒店消费记录。,,,人行，案例,客户,自然日,,,
,1,,,,15,名单类,SN001670,客户命中行政处罚名单,客户命中“行政处罚-海关/食药”名单,客户命中“行政处罚-海关/食药”名单,,,案例,客户,自然日,,,
